1,1,5,0,520,600,3.35,14,3.75,4,1,,,,,,10,,,
19,0,5,,740,650,3.36,19,2.59,4,2,,,,,,11,,,
22,0,5,1,600,560,3.44,15,3.35,4,2,,,,,,11,,,
80,0,5,0,450,570,3.49,15,3.53,4,2,2.67,,,,,11,4,,
82,1,5,0,530,580,3.38,14,3.37,4,0,0,,,,,14,4,,
113,0,5,0,500,660,3.77,15,3.6,1,2,4,3.67,1.67,4,3.67,11,4,4,1
157,1,5,,630,650,3.7,26,3.35,4,2,,,,,,8,,,
245,0,5,,650,710,3.95,15,3.85,1,2,4,3.33,4,3.67,4,6,1,7,1
246,0,5,,560,800,3.53,16,3.7,1,2,4,4,3.33,3.67,2,1,1,7,1
247,1,5,1,480,550,3.38,15,2.97,2,0,,,,,,6,,,
265,1,5,0,420,520,3.54,15,3.15,4,0,,,,,,4,,,
273,1,5,1,530,590,3.69,15,3.42,3,0,2.67,3.33,,,,8,4,4,
275,0,5,,490,520,2.08,44,2.68,3,2,,,,,,1,,,
279,0,5,1,470,520,2.97,17,3.36,3,1,2.33,2,,,,4,4,4,
281,0,5,,660,800,3.79,15,3.86,2,2,4,,,,,6,1,,
301,1,5,0,620,680,3.64,15,3.19,2,0,,,,,,4,,,
324,1,5,1,570,660,3.8,15,3.33,2,2,,,,,,8,,,
325,1,5,0,600,680,3.98,15,3.57,2,2,,,,,,1,,,
334,0,5,0,590,600,2.82,15,3.04,2,1,,,,,,8,,,
335,0,5,0,610,620,3.1,19,2.69,1,2,2,2.67,2.67,2.33,1.33,1,4,4,5
359,0,5,1,580,700,3.99,15,3.75,3,1,,,,,,6,,,
360,1,5,0,580,660,3.85,15,3.03,3,2,,,,,,1,,,
364,0,5,1,650,650,3.05,18,2.83,4,1,0,,,,,6,1,,
366,0,5,0,660,670,2.9,15,3.22,4,2,,,,,,4,,,
370,0,5,,660,580,3.42,16,3.03,1,1,3,3.67,1.67,2.33,1.33,1,1,7,4
374,0,5,,620,580,3.31,15,3.47,4,2,2,,,,,1,4,,
383,1,2,,800,700,3.86,15,3.49,3,2,3,4,,1.67,0,1,4,4,
393,0,5,,570,610,3.48,15,2.85,3,2,4,2,,,,4,4,4,
395,0,5,0,580,740,3.88,15,3.26,2,2,2.33,3.67,,,,4,4,4,
401,0,5,0,540,590,3.49,15,3.2,2,2,,,,,,14,,,
435,0,5,0,630,580,4.04,15,3.58,3,0,,,,,,11,,,
439,0,5,,670,800,3.93,15,3.9,4,2,,,,,,1,,,
446,1,2,,740,720,4.29,15,4,3,2,0,,,,,11,4,,
448,0,5,,570,650,3.53,15,3.34,4,2,,,,,,1,,,
463,0,5,,590,700,3.7,17,3.91,3,2,,,,,,1,,,
474,1,5,1,620,710,3.54,15,3.29,3,2,2,2.67,,,,14,4,7,
480,0,5,,760,680,3.36,15,3.86,3,2,4,3.67,,,,11,4,4,
497,0,5,,620,690,3.86,15,3.88,1,2,4,4,4,3,4,1,4,4,4
498,1,3,,570,650,3.66,15,3.66,3,1,,,,,,11,,,
499,0,5,,620,700,3.92,16,3.06,4,2,2,,,,,1,4,,
500,0,5,,720,730,3.68,15,3.51,1,2,3.33,3.67,3.67,3,2.67,1,4,4,5
501,1,5,,620,760,3.7,16,3.38,2,2,3.67,,,,,1,4,,
503,1,2,,700,670,4.08,15,3.65,3,2,3,3,,,,11,4,4,
504,0,5,,660,690,3.64,15,3.5,2,2,,,,,,1,,,
506,0,5,,600,780,3.92,18,3.79,1,2,3.67,4,4,3,3.67,1,4,4,4
507,0,5,,600,630,3.56,15,3.97,3,2,,,,,,11,,,
519,1,5,0,420,530,3.13,13,3.08,3,1,2,2,,,,11,4,4,
529,0,5,0,580,710,2.98,15,3.51,2,2,,,,,,1,,,
532,0,5,0,610,650,3.14,15,3.22,3,2,,,,,,1,,,
542,0,5,1,480,680,3.72,19,2.77,2,0,,,,,,14,,,
543,1,5,,540,580,3.81,16,3.99,1,2,4,4,4,4,4,14,6,7,5
544,0,5,,530,640,3.43,16,3.09,1,0,1.67,3.33,3.67,3.33,0,1,6,7,5
553,0,5,,530,550,3.77,16,2.97,4,0,,,,,,4,,,
558,0,5,,660,790,3.65,16,3.86,3,2,4,4,3.33,,,14,14,7,5
559,1,5,,580,780,3.96,16,3.62,2,2,4,4,3,2.67,2.33,11,14,4,5
566,0,5,1,490,680,3.99,15,3.34,2,1,,,,,,4,,,
569,0,5,0,640,740,2.72,27,2.85,1,1,3.33,3.67,2,2.67,1.67,11,4,7,5
577,1,5,0,620,640,4.11,15,3.42,1,2,2.67,2.67,2.33,4,1,11,14,4,5
597,1,5,0,460,420,3.4,11,3.51,3,0,,,,,,14,,,
602,0,5,,510,640,3.55,15,2.61,2,1,,,,,,11,,,
605,1,5,0,610,650,4.19,15,3.85,2,2,,,,,,4,,,
606,0,2,,540,610,3.69,15,3.04,4,2,,,,,,11,,,
608,0,5,0,600,640,3.47,16,3.47,1,2,4,2.67,4,3.67,4,14,14,4,5
609,0,5,,600,590,2.95,15,3.14,1,2,3.67,3,2.33,3.33,2,11,14,4,5
615,0,4,1,590,580,3.35,19,3.61,4,1,,,,,,11,,,
616,0,5,1,500,620,3.77,15,3.17,1,2,4,3.33,3,4,2.67,14,4,4,5
624,1,5,0,610,670,4.12,15,3.91,2,2,,,,,,14,,,
625,1,5,0,490,640,3.77,15,3.37,2,1,,,,,,6,,,
628,0,5,0,630,780,3.5,15,3.32,2,2,,,,,,4,,,
630,0,3,,500,590,3.87,15,3.22,1,2,2.67,2,2.67,3,1.33,11,14,4,5
634,1,5,0,700,720,4.23,15,3.87,4,1,,,,,,11,,,
635,0,5,1,660,670,3.29,19,3.08,3,2,,,,,,6,,,
636,0,5,0,570,660,3.89,16,3.08,1,1,2.67,4,2.67,3,2.67,14,14,4,5
638,0,5,,610,680,4.03,15,4,2,2,,,,,,11,,,
642,0,5,,620,730,3.65,15,3.92,4,2,,,,,,4,,,
658,0,5,,570,620,3.21,15,3.38,4,2,,,,,,14,,,
661,1,2,1,500,550,3.85,16,3.6,3,1,,,,,,11,,,
663,1,5,,590,690,4.03,15,3.55,2,2,,,,,,11,,,
664,0,5,0,650,690,3.15,16,3.46,3,2,,,,,,11,,,
666,1,5,1,600,650,4.1,15,3.89,2,2,,,,,,6,,,
673,0,5,,770,660,2.26,11,2.75,3,2,,,,,,11,,,
679,0,2,,560,640,3.54,15,3.88,3,2,,,,,,14,,,
682,0,5,,500,540,3.19,15,3.74,3,0,,,,,,14,,,
685,0,5,,570,590,3.71,15,3.71,4,2,,,,,,11,,,
697,0,5,0,590,630,3.87,18,3.4,1,2,4,4,3.67,2.33,1.67,5,4,7,5
698,0,5,1,550,620,3.62,19,3.35,4,1,2.33,3,,,,5,6,5,
702,0,5,0,490,660,3.84,15,3.14,1,2,3,3.67,2.67,3,2,5,4,7,5
710,0,5,0,570,610,3.65,19,3.29,4,0,0,,,,,6,6,,
711,0,5,,660,690,3.92,15,3.96,3,2,4,,,,,6,6,,
712,0,5,0,580,740,3.54,18,2.61,4,1,,,,,,5,,,
727,0,5,,540,740,3.47,15,3.8,4,2,,,,,,5,,,
728,1,5,0,580,600,3.48,15,3.05,3,0,,,,,,5,,,
729,0,5,0,590,710,3.94,16,4,3,2,,,,,,5,,,
739,0,5,0,610,610,3.31,19,3.15,3,1,0,,,,,6,6,,
742,1,5,1,550,550,3.28,11,3.07,4,1,,,,,,5,,,
746,0,5,0,600,640,3.81,22,2.73,1,2,4,3.33,3.33,3,0,5,7,5,5
758,0,5,0,580,610,3.42,15,2.9,4,1,,,,,,6,,,
761,1,5,,600,640,4.26,15,3.96,2,2,,,,,,5,,,
764,0,5,1,580,710,3.24,15,3.36,3,0,,,,,,5,,,
772,1,5,1,570,690,4.46,15,3.72,2,0,,,,,,5,,,
773,0,5,,590,780,3.88,15,3.77,4,2,,,,,,5,,,
777,1,5,0,630,630,3.22,15,3.6,4,2,4,,,,,5,4,,
778,0,5,1,520,580,3.98,15,3.45,2,0,,,,,,5,,,
781,1,5,0,700,720,3.92,15,3.89,2,2,4,4,,,,5,6,5,
786,0,5,0,510,570,3.22,18,2.41,1,2,4,3,2.33,3.67,0,5,4,7,5
790,1,5,0,690,660,3.86,19,3.75,3,2,4,4,,,,5,6,5,
809,1,5,1,610,690,3.79,12,3.76,2,1,,,,,,5,,,
818,1,5,,520,570,3.81,15,3.1,2,1,,,,,,5,,,
822,0,5,0,670,640,3.87,15,3.21,2,0,,,,,,4,,,
829,1,5,,480,510,3.04,15,2.74,3,1,,,,,,5,,,
830,0,5,,520,610,3.3,36,2.8,4,0,,,,,,5,,,
831,0,5,,540,620,4.27,15,3.93,3,1,,,,,,6,,,
832,0,5,,580,670,3.56,20,3.23,1,2,3.67,4,4,4,2,6,6,5,5
836,0,5,0,640,600,2.12,15,3.64,4,0,,,,,,4,,,
839,0,5,,640,610,3.37,14,3.18,4,2,,,,,,4,,,
845,0,1,,590,650,2.87,18,2.65,4,1,,,,,,5,,,
847,1,5,,510,640,3.36,18,3.02,4,2,2.33,1.67,,,,6,7,5,
856,0,5,,700,780,4,15,3.98,4,2,,,,,,5,,,
858,1,5,,610,750,4.34,15,3.98,2,2,,,,,,5,,,
860,1,5,,540,480,3.62,15,3.09,3,0,,,,,,5,,,
867,1,5,0,630,650,4,15,3.46,4,0,,,,,,4,,,
868,0,5,0,570,620,3.12,15,2.93,3,0,,,,,,5,,,
870,0,5,,480,570,3.24,18,3.14,4,2,4,,,,,6,5,,
872,0,5,1,620,560,3.56,15,3.87,3,2,,,,,,6,,,
881,0,5,,680,730,4,15,3.24,4,1,0,,,,,4,6,,
884,1,5,0,670,710,4.19,15,3.82,4,0,,,,,,4,,,
886,0,5,,780,710,4.17,15,3.93,2,2,,,,,,5,,,
888,1,5,,510,660,3.88,15,3.56,2,2,,,,,,6,,,
889,1,2,0,710,660,4.2,15,3.73,3,2,0,,,,,5,5,,
890,0,5,1,500,680,3.6,15,3.86,3,2,2.67,,,,,6,7,,
893,1,5,1,600,700,4.11,15,3.65,2,0,,,,,,4,,,
896,1,5,0,630,570,4.2,15,3.57,3,2,,,,,,5,,,
898,1,5,0,600,660,3.28,19,3.71,2,2,,,,,,4,,,
901,1,5,1,600,680,3.74,15,3.23,2,2,,,,,,6,,,
904,0,5,,660,690,3.02,19,3.02,4,0,,,,,,6,,,
920,0,5,,530,600,3.4,15,3.47,2,1,3.33,2,,,,4,7,5,
924,0,5,1,490,650,2.94,18,2.71,1,2,3.33,2.33,1.67,3,1.33,5,7,5,5
926,1,5,0,600,690,4.2,15,3.65,2,2,3.67,3.67,,,,6,4,5,
948,0,5,,690,710,3.88,15,3.86,4,2,4,3.67,,,,4,7,5,
950,0,5,0,590,680,3.77,15,3,4,1,,,,,,4,,,
952,0,5,,770,740,4.01,22,2.93,3,2,0,,,,,4,4,,
954,0,5,0,540,660,3.5,15,3.67,4,2,,,,,,6,,,
961,0,5,,430,440,2.74,11,2.51,4,0,,,,,,6,,,
965,0,5,1,600,610,3.46,15,3.33,3,2,,,,,,6,,,
975,0,5,,630,720,3.19,12,3.58,4,0,,,,,,4,,,
977,0,5,,700,630,3.99,18,2.93,3,2,,,,,,6,,,
979,0,5,,700,640,3.75,15,3.66,4,1,,,,,,13,,,
980,0,5,,680,720,3.17,15,3.53,3,2,,,,,,13,,,
983,0,5,,650,670,3.5,15,3.66,3,1,0,,,,,13,5,,
985,0,5,,570,560,3.3,19,2.77,1,1,3.67,3,1.67,2.33,2,4,7,4,5
986,0,5,0,670,750,4.3,15,3.91,2,2,3.67,0,,,,6,7,5,
994,0,5,0,630,630,3.63,15,3.8,4,1,,,,,,6,,,
998,0,5,,590,640,3.79,15,2.83,3,0,1.67,3,,,,6,7,5,
1010,0,5,0,600,630,3.27,15,3.51,4,2,0,,,,,6,4,,
1012,0,5,0,490,610,3.71,15,3.24,4,0,,,,,,6,,,
1014,0,5,,570,650,3.05,15,2.63,4,0,1,,,,,6,7,,
1016,1,5,,680,650,3.5,15,3.84,4,2,4,4,,,,13,5,7,
1026,0,5,1,710,680,4.1,15,3.33,4,0,,,,,,6,,,
1031,1,5,0,680,680,3.9,22,3.56,2,2,3.33,3,,,,6,7,5,
1033,0,5,0,600,770,2.7,28,3.15,2,2,2.67,3.33,2.67,3.33,4,4,7,5,5
1034,1,5,1,630,730,3.94,15,3.26,2,1,,,,,,4,,,
1035,0,5,0,510,560,3.15,15,3.25,4,0,2,,,,,6,7,,
1039,0,5,0,680,680,4,15,3.96,1,2,4,4,4,4,4,6,7,5,5
1040,0,5,0,630,640,3.95,18,3.38,3,0,2.67,2.33,,,,4,4,5,
1045,1,5,0,650,710,3.9,15,3.99,2,2,,,,,,6,,,
1047,1,2,,540,780,3.98,15,3.55,1,2,2.67,3.67,3.67,3,3.67,6,7,5,5
1049,0,5,1,610,640,2.9,32,2.16,1,1,3.33,2.67,3,3,1.33,6,7,7,5
